annot	MC1	MC2	MC3	MC4	MC5	MC6	MC7	MC8	MC9	MC10	MC11	MC12	MC13	MC14	MC15	MC16	MC17	MC18	MC19	MC20
Edmonson.grade.recod	0.00566073599406115	0.910551325867672	0.165122434584225	3.76657945842314e-05	0.0638995428745246	0.00907194682304333	0.502356260521221	0.642547698087688	0.622838263957836	0.613220975240857	0.252058250858612	0.000224324204912614	0.945405793197398	0.176490993413025	0.0062320960193981	0.840087659806854	0.00706439616420272	0.178018524020953	0.474454638960897	0.00504459191982567
Vascular.Invasion	0.560548658437367	0.708648987074001	0.0304528394145892	0.196490043909171	0.0714684516972907	0.109006734032498	0.173737241607588	0.336695926861587	0.525004391917568	0.185091767715852	0.610004821719461	0.00185510837943693	0.0260611166463387	0.178958953574632	0.111472813126566	0.139959176242887	0.061484480502709	0.609070237980631	0.0346389812455845	0.691084717515859
Inflammation	0.314231739880694	0.0508349336921293	0.147542376011324	0.809492100118557	0.195371317656316	0.0472515618260082	0.347732158385514	0.0825866851861503	0.961938771013383	0.214323309428338	0.000592604839319314	0.682764585984278	0.0131482745767621	0.158778444592287	0.374550112569511	0.182117391270835	0.384523017757657	0.230466402659296	0.0511710197695724	0.0676481993026645
TERT	0.00125374947751938	0.046810883954186	0.0617233701217166	0.510347637279654	0.000537889970197769	0.0840949980318894	0.0030974383426562	0.000732182975479172	0.22747662977656	0.43866512605441	0.0204874751522021	0.025131640326774	0.802656343215996	1.85200375493512e-05	0.0224981505771668	0.000407485935882162	0.000622711760583595	3.98693197251842e-07	0.000290718790219531	2.56773928101092e-05
TP53.alt	0.419216266189299	0.388145425354418	0.3737557016485	0.2823521276145	0.171643193952811	0.190822695705147	0.0204797880776532	0.0346583302214385	0.631949214691261	0.697032189704191	0.547296594790742	0.470409464525135	0.725608422063825	0.0252342303549507	0.587963772016472	0.914942326746903	0.819432161688527	0.262175747681217	0.47562461367662	0.520937844247299
CTNNB1.alt	2.88718832034358e-05	0.0501176535425658	1.49028968782253e-05	0.00198032499953447	0.421660517400168	0.0495505003481249	0.000725947880084332	2.39233647031083e-09	0.0106864162985671	0.000516177941924537	4.19881418816034e-09	0.000174803236465206	1.1959917846842e-22	8.11022870018325e-09	0.0926040800221132	5.00688035080852e-09	1.5673853521175e-05	1.50362098086042e-08	4.76470280886495e-09	1.00295007931661e-11
AXIN1.alt	0.547089022857838	0.109293521711779	0.253620995163345	0.135415447905611	0.00681702419329265	0.309925576310048	0.389631235902636	0.56918812076564	0.688642297957674	0.0485706705925833	0.221259457114071	0.656125266476803	0.371911798062523	0.227644129582466	0.0102343214775871	0.0866741044922169	0.491676974382922	0.113508351384211	0.468610292099656	0.411671107867916
ARID2.alt	7.68109597319849e-06	0.187569394216507	0.0683533437693837	0.00154129970164314	0.643998134732546	0.0159372385672299	0.00297378606129386	0.000927544757104221	0.80931451899349	0.000199712278124614	0.284915134863629	0.00699923872231845	0.3675655504774	0.0546148178938233	0.000241043260832691	0.00890885538203176	0.0186947591075717	0.00061814774340711	0.0378463598130108	0.00214537010699931
ARID1A.alt	0.17818952471237	0.0668771078731559	0.0522826460273327	0.00122253137778903	0.156383144675003	0.391666414719338	0.250199718242659	0.0608571306332254	0.161502573804199	0.492153925091506	0.09058045032004	0.328880375585354	0.591875534882197	0.0115467027608228	0.281203624245429	0.00834972081119793	0.188062075873445	0.10401255500189	0.0326787809267344	0.0280285976841756
NFE2L2.alt	0.0591955916554606	0.760740713725541	0.269692998705422	0.571382109883523	0.588602313722137	0.068679285386414	0.450669309157781	0.0718249775478768	0.0439363684296712	0.573830858826058	0.154009152122549	0.00485398513026076	0.0262737102335495	0.156717395344172	0.147959334648133	0.135859679996224	0.0170151762219964	0.031168176503434	0.202698748561482	0.00435479014596583
RPS6KA3.alt	0.355300116910433	0.112350520110055	0.0473521676730113	0.159253548882222	0.310894786744272	0.186525272972376	0.0517920908398508	0.363203332964197	0.833310594404957	0.773292691196982	0.0930726111088359	0.626898861844709	0.70992825625185	0.112007705109094	0.442520225173001	0.0211533914054858	0.537787463242377	0.519650778365647	0.661812650443581	0.395366914195804
KEAP1.alt	0.248533742485232	0.000526256078807385	0.237976399611618	0.00225030543290139	5.7528838513006e-05	0.587345604962437	0.162229379177357	0.0139371057820589	0.00810659283129449	0.293786262149147	0.418466213037341	0.958607457709033	0.168548390363143	0.0451801426948806	0.21380475578031	0.0765991297281888	0.587907446939229	0.051155254647153	0.0550441244893037	0.299302913034114
CDKN2A.alt	0.354613016262736	0.268277998526094	0.201905157307212	0.0813369400530794	0.450956752079006	0.782807618362551	0.108042997020035	0.195690726533096	0.018645116901939	0.00829826450320315	0.243021685735036	0.398179976488047	0.295506425805897	0.235616400188568	0.104075861322982	0.0894601408573244	0.330883613205892	0.132684090854624	0.164941805839017	0.0673317237014369
RB1.alt	0.444342775722236	0.129899328245602	0.547828597224659	0.105538131434443	0.571933973584492	0.55112775987588	0.641427716773514	0.389306729804527	0.586620445180007	0.413016854534837	0.481857938929707	0.262538175828299	0.184484460718331	0.213839175668596	0.186402779011368	0.297142838352983	0.600077994090967	0.741504981716216	0.78137720163194	0.563977440415042
BAP1.alt	0.398738347569565	0.54859601356574	0.116727957741687	0.605272328607078	0.19680820341878	0.669118869535603	0.880955946200289	0.119228194823087	0.543736635282084	0.49580060438906	0.378765901894152	0.713675976467583	0.904454781189163	0.186635467788065	0.824297495158435	0.225796951585542	0.540751797232931	0.0932055658907498	0.228621637485704	0.222310018521438
Boyault	0.000155030718703169	0.002114603858464	0.000151233633699395	1.24661333015607e-06	0.00718860351036909	0.000101567342238301	0.00172666102685873	5.00241668559138e-07	0.0283748686408176	0.0139383954921059	0.00239730869541464	0.00272596361718557	1.62390769580966e-07	7.12854146336536e-10	0.0114130863390359	0.109707310408221	0.00102009262416462	2.24893483626004e-08	0.000348842096994633	1.11615597078358e-11
MCPcounter_inflamation	0.173900335128094	0.62424859524883	0.000135557779375807	0.293831048955584	0.00016350583609808	0.00053224062480313	6.79840760820727e-08	0.0024466749002335	0.131201117538866	1.74550258980813e-05	5.02761936935461e-07	0.981769047082829	0.0416287410686313	0.000168015962895467	0.0704889226441393	0.000229380077697296	0.00469211438099729	0.0068480960634033	1.31409620308554e-08	1.02000329557388e-05
Cyclin.Status	0.033574572685865	0.354658181188053	0.353020102719466	0.293801398020231	0.220332029931553	0.172028879907107	0.00378132508578414	0.0435685690517999	0.352946328332637	0.271051439760611	0.405508722150484	0.0010436422564942	0.00295251803389572	0.41884120822463	0.133900264961079	0.0523531639944479	0.0557706511264432	0.24755594474328	0.123743861025217	0.196466612355452
Liver_progenitor	0.167735805011492	0.110257012583812	0.273652262301903	0.00533268938397396	0.602680000734857	0.763663697259588	0.809734310075881	0.00250867064069848	0.0540391017351392	0.33783305992434	0.288258133469618	0.0778341248729807	0.856977415211681	5.51887117599974e-06	0.0868529434705327	0.404901822330122	0.540862623741917	7.38508494708338e-06	0.00643898844916209	5.25648598973074e-09
Stem_cell	0.0180643807419115	0.754785731644966	0.000209661867078767	0.0315006855010462	4.21065724667924e-05	0.000569264097311294	2.07054957290421e-09	0.000189308919280156	0.000729760890432173	0.000119884887332988	2.78524803608513e-06	0.461070925328338	0.0220724003947046	0.000486364332261247	0.0819466366529627	5.96741163317404e-06	0.0203115270801292	0.000324247510525094	3.46305375562139e-09	1.47232807812123e-07
EMT_metastasis	0.0608046912585119	0.926779165505024	9.28680504060039e-07	0.0547504997778851	4.43874121016297e-05	0.0220554740858548	3.17290354332376e-08	1.46482549819539e-05	0.00733892956604731	2.81674076515667e-05	3.2650981283242e-11	0.273571434263033	0.0269353263273344	0.000340299380907219	0.111889648056318	2.67777501059771e-08	0.0822803552537394	3.26856542451549e-05	2.32206383608241e-12	4.26347391561484e-08
Differentiation	0.000572781399575722	0.679445777199675	0.0257569990022823	0.000137050524021071	0.371924106012642	1.48247122563964e-05	0.810827185946717	0.0368714793037766	0.342003829073992	0.177746532057957	0.00196871752139505	0.00508768150636571	0.751205701729265	0.000304004308201715	0.0385494763181613	0.0786755071607604	0.00504823496282145	0.000287545570264265	0.0187407207014191	6.89379318730234e-06
Proliferation	4.48182726057587e-07	0.295753667729441	0.345059585755177	0.027897299840883	1.03140434894916e-05	1.66368921837966e-10	0.166434350981252	0.0747849596720899	0.628213802776573	0.0261074391316222	0.226394281378052	5.07284625394748e-08	0.0291006125708795	0.397938476175627	0.000262474223163171	0.537254061986541	0.0011123373703653	0.486810928527345	0.0502612101031837	0.448155640017744
